縣市,案名,狀態,動工日期,(預計)完工日期,戶數,樓數,地址,Latitude,Longitude
桃園市,[桃園] 捷運A20站,興建中,113/12/12,117/1/31,393,1,320桃園市中壢區中豐北路一段685號,24.9801058,121.2160554
桃園市,[桃園] 埔心安居,興建中,113/7/22,116/7/31,486,1,326桃園市楊梅區中興路145號對面,24.9150881,121.186329
桃園市,[桃園] 蘆竹區大興段,興建中,113/11/7,116/7/31,73,1,338桃園市蘆竹區興仁路188~206號,25.01649,121.2604179
桃園市,[桃園] 捷運A10站,興建中,113/11/13,116/7/31,369,1,338桃園市蘆竹區南山路三段155號,25.0808882,121.2847613
桃園市,[桃園] 龜山區興安段,興建中,113/10/16,116/10/31,130,1,333桃園市龜山區中興路253號,24.9907367,121.3337617
桃園市,[桃園] 龜山區善捷段,興建中,113/10/15,116/10/31,336,1,333613桃園市龜山區文青路383號,25.0391847,121.3935191
桃園市,[桃園] 樂善安居,興建中,113/10/1,117/12/31,790,1,333桃園市龜山區文南路170號,25.0445691,121.4000893
桃園市,[桃園] 上林好室,興建中,113/8/20,116/9/30,140,1,325桃園市龍潭區金龍路8巷20弄14號,24.8608418,121.2112861
桃園市,[桃園] 湧光安居,興建中,113/11/15,117/2/7,239,1,324桃園市平鎮區湧光路134巷21號對面,24.8965934,121.2084498
新竹市,[桃園] 中雅安居,興建中,"111/10/17	",115/7/31,638,1,300新竹市北區延平路一段191號,24.8047997,120.9551108
新竹市,[桃園] 建功安居,興建中,114/2/18,"117/7/31	",734,1,300新竹市東區建功二路28號(東),24.7970476,121.002867
新竹市,[桃園] 金城安居,待開工,114/12/31,118/8/31,922,1,300新竹市東區金城一路40巷11號,24.793183,121.003083
新竹市,[新竹] 新竹市建功公辦都市更新案,待開工,114/11/30,119/12/31,200,1,300新竹市東區金城一路35巷29號,24.7954375,121.0013866
新竹縣,[新竹] 東林好室,待開工,114/8/29,117/9/30,90,1,310新竹縣竹東鎮東林路140號,24.7369099,121.0933273
新竹縣,[新竹] 新湖好室,興建中,112/11/20,116/1/31,132,1,303新竹縣湖口鄉信義街87巷4號,24.906327,121.048554
苗栗縣,[苗栗] 明駝好室,興建中,111/12/7,114/9/30,107,1,苗栗縣苗栗市中正路1238巷2號,24.5442344,120.8163943
苗栗縣,[苗栗] 啟賢安居,待開工,114/10/31,117/12/31,259,1,苗栗縣苗栗市豐年路54巷6號,24.5731045,120.8288575
苗栗縣,[苗栗] 台糖苗栗學苑,完工,112/4/12,112/7/10,224,1,360苗栗縣苗栗市中正路1297巷1號,24.54305,120.817347
南投縣,[南投] 漳和安居,待開工,114/11/30,118/6/29,278,1,540南投縣南投市興和巷141弄83號,23.9119731,120.679384
南投縣,[南投] 公誠安居,興建中,112/2/8,"114/10/26	",260,1,545南投縣埔里鎮德二街26號,23.9715614,120.9622567
南投縣,[南投] 竹山好室,待開工,114/6/1,116/10/1,172,1,557南投縣竹山鎮大智路821-1號,23.7491442,120.6806247
台南,[台南] 宜居成功,完工,110/10/5,114/3/25,110,1,臺南市永康區忠孝路195巷52號,23.0031004,120.2388387
台南,[台南] 宜居仁愛,完工,112/4/12,"112/7/10	",202,1,臺南市仁德區崇聖路一段8號,22.9602821,120.2200719
台南,[台南] 宜居小東,興建中,110/7/1,114/5/31,379,1,臺南市北區北門路二段116號、122號,23.0027458,120.2135079
台南,[台南] 新都安居A,興建中,110/10/1,114/6/20,621,1,717台南市仁德區崇吉一街10號,22.9615047,120.2254499
台南,[台南] 開南安居A,興建中,111/7/13,114/11/26,150,1,702台南市南區中華西路一段26巷7號,22.9666483,120.184244
台南,[台南] 開南安居B,興建中,111/7/13,114/11/26,150,1,702台南市南區中華西路一段26巷7號,22.9666483,120.184244
台南,[台南] 新市安居,興建中,111/9/15,114/12/9,670,1,744台南市新市區民生路98號,23.0802239,120.2879709
台南,[台南] 橋北安居,興建中,112/5/12,115/11/19,241,1,東橋七路、東橋二街口,23.019655,120.238116
台南,[台南] 東橋安居,興建中,112/5/18,"115/2/28	",220,1,710台南市永康區東橋八街41號,23.0208614,120.2333228
台南,[台南] 億載安居,興建中,112/9/23,116/7/8,537,1,708台南市安平區郡平路297號隔壁,22.9894731,120.164443
台南,[台南] 和順安居,興建中,113/3/1,117/5/31,1703,1,709台南市安南區館慶路8號,23.0656035,120.2359132
台南,[台南] 正強安居,興建中,113/5/6,117/1/20,464,1,710台南市永康區中山南路517巷15號,23.023881,120.251606
台南,[台南] 長勝好室,興建中,113/9/1,116/11/4,140,1,730台南市新營區新榮三街56號,23.2998438,120.3016414
台南,[台南] 鯤鯓安居,興建中,114/1/8,117/8/31,665,1,702台南市南區濱南路5號,22.962733,120.182619
台南,[台南] 宜居康橋,興建中,113/12/30,120/12/31,445,1,東橋七路與東橋二街交叉口,23.0191781,120.2381596
台南,[台南] 裕忠安居,興建中,114/1/10,117/7/31,611,1,臨裕忠路、近中山路,22.975908,120.241145
台南,[台南] 宜居仁和,完工,110/10/14,"114/2/28	",75,1,仁德區二空新村,22.960074,120.2229522
台南,[台南] 宜居平實(平實營區更新案第一期),待開工,114/7/31,118/12/31,220,1,,22.998131,120.238243
台南,[台南] 宜居後甲(平實營區更新案第二期),待開工,114/7/31,118/12/31,175,1,後甲二路、後甲三街、平實二街與平實六街,22.995674,120.237564
台南,[台南] 平實安居A,待開工,114/6/9,117/11/19,138,1,701台南市東區平實八街71號,22.9935961,120.2378712
台南,[台南] 平實安居B,待開工,114/6/8,117/11/19,552,1,後甲一路、後甲二路及瑞祥街交界處,22.994199,120.2370038
台南,[台南] 平實安居C,待開工,114/6/8,118/1/18,348,1,後甲一路、瑞祥街、瑞吉街交界處,22.9916084,120.2357721
台南,[台南] 平實安居D,待開工,114/12/31,117/11/30,325,1,瑞祥街及後甲一路口,22.609427,120.3287747
台南,[台南] 新都安居B,待開工,114/10/31,117/11/26,611,1,701台南市東區崇元一街8號,22.9623278,120.2269098
台南,[台南] 宜居林森{自強新村),待開工,115/1/31,118/12/31,160,1,臺南市北區林森路,23.008515,120.2079953
台南,[台南] 宜居東興(中興新村),待開工,114/4/30,118/12/31,104,1,704台南市北區北門路二段94號,23.0022953,120.2134195
台南,[台南] 九六新村,待開工,116/12/31,120/12/31,250,1,,23.009141,120.212676
台南,[台南] 臺南市北區九六新村眷改土地都市更新案,待開工,117/6/30,122/6/30,455,1,,23.00885,120.213352
台南,[台南] 臺南市北區中興新城土地都市更新案,待開工,114/6/30,119/6/30,194,1,,23.00271,120.214497
台南,[台南] 六安好室,待開工,114/7/31,117/5/31,165,1,佳里區延平路及佳北路交界處,23.1712229,120.1756438
台南,[台南] 宜居延平,待開工,117/6/30,122/6/30,455,1,臺南市北區九六新村地區,23.0093734,120.2150128
台南,[台南] 沙崙安居,待開工,114/11/13,118/5/24,580,1,北園街、歸仁三路、高發三路交界處,22.9326124,120.290622
台南,[台南] 武東好室,待開工,114/12/31,118/5/31,193,1,高鐵十二路、中正南路二段、高鐵大道交界,22.9266346,120.2778552
高雄市,[高雄] 凱旋青樹社宅,完工,108/5/30,111/11/29,245,1,苓雅區凱旋一路158號及160號,22.6380305,120.3185983
高雄市,[高雄] 前金大同社宅,完工,108/4/30,109/5/29,48,1,801高雄市前金區大同二路,22.626284,120.2929699
高雄市,[高雄] 台電五甲公宅,完工,"105/4/6	",106/1/9,55,1,鳳山區南京路292巷3之2號〜4號、292巷4之1號〜4號,22.6148507,120.3459806
高雄市,[高雄] 鳳山共合宅,完工,106/12/1,107/3/23,19,1,鳳山區建國路二段125〜131號,22.6352809,120.3598244
高雄市,[高雄] 楠梓學苑,完工,112/4/12,112/7/10,544,1,楠梓區卓越路51巷6號,22.751305,120.3327964
高雄市,[高雄] 梧州好室,完工,112/3/18,112/11/18,99,1,806高雄市前鎮區梧州街30巷8號,22.6143158,120.3160321
高雄市,[高雄] 新都段公營出租住宅,興建中,111/3/21,"116/12/31	",114,1,807高雄市三民區中華二路395＆397號,22.6442822,120.2918909
高雄市,[高雄] 大寮社宅,興建中,112/5/23,115/12/31,384,1,831高雄市大寮區捷運大寮站,22.6222201,120.3904302
